,,,"Weather Station 1","Weather Station 1","Weather Station 1","Weather Station 1","Weather Station 1","Weather Station 1","Weather Station 2","Weather Station 2","Weather Station 2","Weather Station 2","Weather Station 2","Weather Station 2","Weather Station 2","Weather Station 4","Weather Station 4","Weather Station 4","Weather Station 4","Weather Station 4","Weather Station 4","Weather Station 4","Weather Station 6","Weather Station 6","Weather Station 6","Weather Station 6","Weather Station 6","Weather Station 6","Weather Station 6"
,,,Maximum,Minimum,"Mean Vapor","Mean Relative",Total,"Mean ",Maximum,Minimum,"Mean Vapor","Mean Relative",,Total,"Mean ",Maximum,Minimum,"Mean Vapor","Mean Relative",,Total,"Mean ",Maximum,Minimum,"Mean Vapor","Mean Relative",,Total,"Mean "
,,Day,Temperature,Temperature,Pressure,Humidity,precipitation,"Wind Speed",Temperature,Temperature,Pressure,Humidity,LIGHT,precipitation,"Wind Speed",Temperature,Temperature,Pressure,Humidity,LIGHT,precipitation,"Wind Speed",Temperature,Temperature,Pressure,Humidity,LIGHT,precipitation,"Wind Speed"
Date,Year,"of Year",(*C),(*C),(kPa),(%),(mm),(m/s),(*C),(*C),(kPa),(%),mol/m2/d,(mm),(m/s),(*C),(*C),(kPa),(%),mol/m2/d,(mm),(m/s),(*C),(*C),(kPa),(%),mol/m2/d,(mm),(m/s)
1982/08/11,1982,223,,,,,,,31,17,1,,46,,5.4,29.1,11.6,1.4,,41,,1.9,29,14.8,1.1,,44,,2.4
1982/08/12,1982,224,,,,,,,28.9,12.3,1.3,,51,,2.6,25.6,8.1,1.3,,47,,1.4,27.1,10.8,1.2,,51,,1.1
1982/08/13,1982,225,,,,,,,28.6,16.2,1.2,,36,,2.8,25.1,9.5,1.3,,33,,1.2,25.6,14.3,1.1,,34,,1.1
1982/08/14,1982,226,,,,,,,29.6,14.9,1.3,,41,,2.8,26.7,9.1,1.4,,34,,1.2,26.3,13.2,1.2,,40,,1.2
1982/08/15,1982,227,,,,,,,30.8,16.3,1.1,,53,,3.9,28.1,9.7,1.3,,47,,1.7,28.5,15.4,1.1,,51,,1.5
1982/08/16,1982,228,,,,,,,31.8,17.5,1.2,,50,,3.1,28.4,11,1.4,,45,,1.5,29.4,16.2,1.1,,50,,1.4
1982/08/17,1982,229,,,,,,,33.2,16.6,1.3,,42,,2.5,29,10.7,1.5,,39,,1.3,30.4,13.6,1.2,,42,,1.1
1982/08/18,1982,230,,,,,,,31.3,16.5,1.4,,45,,3.1,27.8,10.2,1.4,,35,,1.4,28.8,13.7,1.2,,45,,1.2
1982/08/19,1982,231,,,,,,,32.3,17.4,1.4,,51,,2.8,29.4,11.4,1.5,,27,,1.4,30.2,16.8,1.2,,50,,1.2
1982/08/20,1982,232,,,,,,,33.7,19.4,1.3,,48,,2.9,30,11,1.5,,42,,1.3,32.2,16.7,1.2,,47,,0.9
